bfich,bfinh,bfioh,bfieh,bfiah,bfiae,bfiaa,bfiac,bfian,bfiao,wallposts,portraits,imp_avs,friends,likes_portrait,sex,age,selfesteem
433,313,460,363,456,3.8,4.67,4.67,1.75,4.6,25,15,0,584,64,2,21,2.8
367,213,400,400,389,4.2,4.11,4.44,2,4,62,16,0,1037,92,2,20,3.4
322,288,330,450,233,4.2,3.22,4.89,1.63,3.7,127,4,4,687,22,1,21,3.5
300,288,470,313,422,4,4.11,4.33,2.13,4.3,118,49,8,743,58,2,18,3.3
378,150,360,388,378,4.2,4.22,4.89,1,4,8,3,0,259,31,1,20,4
456,200,420,413,444,5,4.22,4.78,1.5,4.3,83,9,0,252,14,1,19,4
167,463,420,288,311,4.4,3.78,4,2.5,4.5,0,8,0,209,15,2,19,2.7
433,313,400,338,300,3.4,3.67,4.11,1.88,4,4,12,3,148,31,2,20,2.9
322,263,340,275,311,3.8,3.67,4.11,1.88,3.9,73,9,1,80,3,1,28,2.4
256,263,230,213,322,3.4,3.33,4.56,1.63,4.1,22,1,2,137,1,1,19,2.9
300,388,450,425,344,4.4,4,4.67,2.13,4.8,112,4,0,328,43,2,18,2.8
333,375,390,275,400,4.6,4.44,4.67,1.5,4.7,37,4,4,267,29,2,20,2.7
400,363,400,438,322,4.8,4.33,4.89,1.5,4.8,218,10,0,449,40,2,18,3.3
333,300,340,338,333,3.8,3.22,4,2.38,3.8,3,2,1,76,21,2,22,3
389,338,300,263,356,4.2,4.33,4.89,1.5,4.5,30,2,0,243,71,1,21,2.8
378,363,440,325,344,4.6,3.78,4.78,1.25,4.4,6,20,1,213,36,2,21,2.8
244,325,400,388,356,4,3.44,4.56,1.75,4.7,15,2,3,70,7,2,18,3.1
433,313,300,275,356,3.8,3.44,4.78,1.25,3.8,5,13,18,206,15,2,20,3.4
333,300,360,400,411,4.6,4.44,4.11,1.88,4.3,0,4,0,21,4,2,21,3.5
444,175,500,363,411,3.8,4.11,4.78,1.38,4.9,10,4,4,168,26,1,20,3.5
278,350,430,300,267,3.6,3.89,3.56,1.13,4.4,17,1,1,79,15,2,21,3.1
444,125,390,313,356,4.2,3.89,4.89,1.25,4.2,0,6,0,237,26,1,18,3.4
378,250,420,300,422,4,4,4.33,2.13,4.4,48,1,0,376,39,2,21,3
367,400,420,325,333,4,3.56,4.56,3.75,3.9,9,9,1,241,34,2,19,3.3
422,213,270,275,333,4.8,4.22,4.56,1.38,4.8,39,25,1,223,30,2,19,3.3
489,263,410,325,489,4,4.56,4.78,1.38,4.4,25,4,0,72,10,2,21,3.2
244,388,340,375,356,4.6,4,4.22,1.63,4.3,24,5,1,184,26,2,18,2.9
256,350,380,350,344,4.6,4,4,1.63,4.6,73,5,1,117,38,2,17,3.1
333,275,350,275,389,3.8,4,3.67,2.5,4,37,16,0,401,52,2,19,3.2
356,250,360,338,389,3.4,3.89,4.67,1.88,3.8,21,10,3,36,5,1,19,2.7
289,325,440,413,278,4.6,3.56,4.11,2.13,4.8,46,22,7,70,11,2,19,3.1
367,263,400,363,411,4.6,4.56,4.67,1.63,4.9,11,29,0,181,12,2,20,3.7
300,250,340,338,389,4.4,4,3.89,1.25,4.5,38,13,1,177,34,2,18,3.1
267,263,360,325,322,4.2,4.44,4.67,1.38,4.1,3,9,0,139,23,2,18,3.1
400,188,390,488,278,4.8,2.67,4.22,1,4.2,22,23,2,352,18,2,21,4
256,288,420,313,289,4.2,3.89,4.11,1.25,4.3,12,8,0,133,8,2,21,2.1
411,325,460,438,411,4.8,4.78,4.89,1.88,4.8,50,10,0,189,26,2,20,2.8
233,375,210,238,233,3.2,4,4.22,2,3.6,1,4,0,420,28,2,20,1.7
289,338,440,363,422,4.2,4.56,4.56,1.75,4.4,32,2,0,470,60,2,18,2.7
211,175,370,238,444,4,4,3.67,1.75,4.4,14,11,0,329,48,2,19,2.6
322,263,480,338,444,3.6,4.56,4,1.38,4.9,86,8,0,191,19,2,17,3.1
322,388,450,425,211,4.8,3.67,4.56,1.75,4,16,17,0,311,35,2,22,3.7
444,300,430,463,344,4.8,3.33,5,1.5,4.5,14,13,0,360,45,2,22,3.6
467,200,290,263,356,3.8,3.89,4.33,1.63,4,14,7,0,99,19,2,20,3.8
422,463,460,188,267,3.6,3.89,4.89,1.5,4.8,41,7,0,200,61,2,19,3.1
378,313,320,250,289,4.2,3.78,5,1.75,3.6,309,2,1,242,49,1,19,2.6
389,400,290,325,344,4.2,4.33,4.89,1.63,4.1,7,1,0,263,25,2,19,3.2
322,338,440,313,356,4.6,4.11,4.78,2.25,4.6,15,13,0,278,30,2,18,3
300,188,460,388,400,4.8,4.78,4.67,1.25,5,22,3,0,111,8,1,18,3.1
333,200,410,450,422,5,4.67,4.44,1.88,4.7,4,1,0,188,61,2,18,3.2
289,350,340,238,289,4.2,3.33,3.78,2,3.7,7,1,0,240,10,2,20,2.6
311,375,450,300,333,3.8,3.67,3.78,2,4.3,423,20,4,299,34,2,20,2.5
333,350,460,425,289,3.8,3.89,4.78,2,4.1,0,1,3,18,21,2,17,2.7
300,338,280,175,367,4.6,4,4.33,2.13,4.2,0,1,0,118,8,1,21,2.4
444,238,420,363,378,4.4,4.56,4.78,1.75,4.5,25,5,0,206,31,2,20,3.4
356,375,350,288,356,4.4,3.78,4.44,1.75,3.8,4,11,1,104,14,2,18,3.5
311,425,350,313,322,5,3.89,4.11,1.88,3.5,0,8,2,134,19,2,19,2.9
300,213,360,325,378,3.6,4.11,4.33,2.13,3.7,0,1,0,47,0,1,22,3.3
267,350,380,425,378,4.2,3.44,4.22,1.63,4.2,30,8,2,575,55,2,20,3.2
378,250,470,288,478,4.4,4.56,4.78,1.25,4.7,0,2,0,180,51,2,19,3.4
411,263,290,375,389,4.4,4.22,4.67,2.13,4.1,57,23,2,239,29,2,20,3.2
389,250,360,313,356,4.4,3.78,4.44,1.5,3.7,0,2,0,110,5,1,20,3.3
311,400,440,400,444,4.4,4.78,4.89,1.5,4.6,887,50,0,207,52,2,18,2.7
422,163,360,288,389,3.8,3.67,4.56,1.5,3.9,56,9,1,315,11,1,24,3.5
367,250,390,425,356,4.8,3.56,3.89,1.5,4.3,45,17,1,314,27,2,18,3.1
333,238,330,288,322,3.4,3.89,4.11,1.63,3.6,78,1,0,337,40,1,18,2.6
233,425,320,400,267,4.8,4.56,4.89,1.13,4.8,3,4,0,197,40,2,21,3
422,263,460,488,278,4.6,3.56,4.44,1.63,3.8,49,3,3,375,34,1,21,3.4
333,275,430,338,400,3.8,3.78,3.89,2.13,4.2,10,11,5,523,84,2,20,2.7
378,263,380,375,378,4.4,4.44,4.33,1.88,3.4,42,5,0,308,37,2,20,3.9
389,163,450,438,256,4.6,3.44,4.44,1.25,4.4,317,6,0,376,29,2,20,3.7
333,250,380,225,433,4,4.33,4.56,1.88,4.5,58,4,2,156,17,1,20,3
344,300,340,275,378,4.6,3.89,4.78,1.13,3.8,38,7,0,292,38,2,19,3.3
289,350,350,450,267,5,2.89,4.56,2.38,4,88,18,3,345,43,2,20,3.3
311,313,490,388,333,4.4,4.56,4.67,1.25,4.3,3,2,4,554,33,2,23,3
356,450,260,350,222,3.8,3.22,4.56,2.5,3.2,120,2,0,76,19,2,19,2.8
444,263,350,325,478,4.6,4.56,4.56,2.13,4.6,0,13,0,257,19,2,21,2.8
289,275,380,438,322,4.6,4.33,4.11,1.38,3.9,73,7,0,445,94,2,19,3.4
422,225,410,425,444,4.6,4.56,4.89,2,4.4,49,9,0,145,14,2,18,3.7
300,325,270,213,344,4.2,3.44,4,1.38,3.8,29,1,0,81,0,1,21,2.4
422,263,310,263,389,4,4.44,4.78,1.63,4,73,6,4,119,16,1,19,3.2
322,388,370,288,233,3.8,3.67,4.33,2,3.9,22,10,2,175,10,2,19,3.4
278,138,460,425,267,4.2,4.22,4.89,1.25,4.8,510,3,32,79,8,1,21,3.8
389,363,410,413,444,4.2,4.33,4.78,1.5,4.6,71,44,2,98,19,2,19,3.5
300,338,420,275,300,4.4,3.67,4.67,2.13,4.2,30,6,2,370,66,2,20,2.8
333,288,280,350,400,4.4,3.44,4.67,1.75,4,40,9,2,149,14,1,19,2.7
422,300,480,463,411,4.6,3.56,4.89,1.75,4.8,24,2,0,443,89,2,22,3.8
344,313,450,338,311,4.2,4.11,4.56,2,4.1,27,2,0,396,34,2,18,3.4
256,200,310,300,344,3.8,4.44,4.67,1.88,4.4,49,16,9,686,25,2,21,2.4
289,413,360,363,244,4.2,3.44,4.56,2.38,4.2,2,13,0,497,64,2,18,2.9
322,275,380,225,300,3.8,3.78,4.67,1.5,4.2,12,7,4,118,12,1,21,3.2
389,413,330,325,344,3.6,4.22,4.67,1.75,3.4,5,7,0,115,12,1,19,3.7
289,288,270,325,322,4.2,3.67,4.67,2,4.4,27,21,1,182,31,2,18,2.8
333,363,380,388,356,4.6,4,4.67,1.38,4.5,8,12,0,145,14,2,22,2.8
267,350,330,263,333,4.4,4.44,4.33,1.5,4.9,28,26,11,155,11,2,22,2.3
411,363,290,325,378,4.2,4.22,4.78,2.25,4,350,2,0,424,40,2,19,2.8
322,275,330,338,422,4.4,4.78,4.22,2,4.3,20,12,3,136,27,2,18,3.5
389,350,380,363,478,4.6,4.67,4.78,1.63,4.3,76,22,1,233,32,2,20,2.8
311,213,380,238,433,3.8,4.11,3.89,1.5,4,9,15,4,174,30,2,19,2.8
389,400,470,313,244,3.6,3.89,4.56,1.38,4.6,49,3,3,59,8,2,20,2.5
267,300,310,363,322,4.6,4.22,4.78,1.75,4.1,62,10,0,244,56,2,18,2.8
378,213,400,325,367,3.8,4,4.56,1.38,3.6,88,5,2,125,14,2,19,3.3
333,225,370,313,367,4.2,4.33,3.67,2.38,3.9,35,2,1,493,55,1,18,2.1
322,313,430,438,333,4.2,3.89,4.56,1.88,4.4,26,14,0,518,21,1,23,3.3
356,363,430,275,389,4.6,4.22,4.44,1.25,4.5,0,3,0,54,7,2,18,2.7
389,375,390,238,389,4,4.11,4.44,2.38,3.7,73,4,0,102,5,1,21,2
289,225,370,275,333,3.8,3.44,4.11,2,4.1,7,4,9,87,15,2,18,2.7
300,425,490,450,356,4.4,4.11,4.33,1.75,4.3,198,27,0,249,23,2,18,3.5
344,238,410,413,344,4.2,4,4.56,1.75,3.7,42,4,2,238,7,1,19,3.2
356,313,420,263,289,4.4,4.33,4.56,1.75,4.2,14,20,0,109,13,2,21,3.2
289,313,370,400,244,4.4,3.44,4.11,1.38,4.2,92,2,1,245,3,1,21,3.3
389,363,410,300,389,3.8,4.56,4,1.75,4.6,4,3,0,100,11,2,19,3
300,313,420,350,278,4.6,4.44,4.56,2,4.6,16,2,0,211,28,2,22,3
400,288,390,375,400,4.8,4,4.78,1,4.2,4,9,0,219,32,2,20,3.7
278,275,290,250,378,4.4,4,4.67,1.88,3.4,14,1,1,159,22,1,19,2.4
267,438,280,288,356,4.6,4.67,4.22,2,4,49,16,0,307,31,2,19,2.6
233,375,340,313,300,3.8,4.33,4.78,1.13,4.3,0,2,1,54,13,2,18,2.9
367,338,390,275,411,4.2,4.67,4.78,1.13,4.7,5,2,0,140,36,2,20,2.6
356,263,430,338,356,4.6,4,4.44,1.5,4.8,329,20,10,221,28,2,21,3.3
422,350,390,250,378,4.2,4.33,4.56,1.88,4.5,28,13,1,91,18,2,19,2.5
289,363,410,425,333,4.4,4.33,4.67,1.25,3.9,168,13,3,380,22,2,19,3.9
389,263,360,388,356,4.8,4.11,4.67,1.38,3.9,228,69,1,267,32,2,19,3.33
356,275,340,425,411,4.8,4.44,4.67,1.5,4,2,2,0,218,8,2,20,3.8
311,263,400,200,411,3.2,4.11,3.89,2.13,3.8,6,3,3,59,7,1,20,3.6
322,325,220,250,389,4.8,3.56,4.33,1.88,3.8,8,3,0,222,42,2,19,2.6
222,275,390,325,300,5,3.67,3.22,1.75,4.1,19,1,9,96,1,1,23,3.3
333,313,320,463,267,4.8,3.89,4.67,1.5,4.3,202,19,0,197,20,2,20,3.4
367,263,450,388,400,4.6,4.33,4.44,1.75,4.7,16,14,0,360,55,2,18,3
311,313,280,250,367,3.8,4.22,4.44,1.5,4.5,10,7,4,169,20,2,20,3.1
456,288,420,363,400,4.8,4.44,4.67,1.75,4.5,79,1,0,214,33,2,18,3.3
333,338,270,275,389,4.4,3.89,4.44,2.13,3.9,10,7,0,212,34,2,19,2.7
278,400,460,488,233,4.4,3.67,4.56,1.75,4.4,79,14,0,342,32,2,21,3.6
344,250,310,288,389,4.2,3.78,4.11,2.13,4,2,13,3,107,15,2,19,3.3
444,163,280,375,389,4.6,3.78,4.89,1,3.7,0,2,0,145,23,1,20,3.8
311,288,450,325,289,3.6,3,3.78,2,4.2,58,7,7,160,13,1,18,2.7
378,263,420,325,422,4,4.56,5,1.38,4.4,5,12,1,374,36,1,19,3
267,438,380,313,267,4,3.89,4.67,1.5,4.2,127,34,1,391,11,2,19,2.5
433,188,330,300,333,4.4,3.78,4.22,2.25,3.3,12,7,0,188,13,1,20,3
422,363,340,275,367,3.6,3.89,4.33,2.25,3.3,19,10,1,158,15,2,17,2.3
244,300,460,325,378,3.8,4.11,4.33,1.88,4.5,127,28,3,436,20,2,20,3.2
344,213,430,450,400,4.6,4,4.56,1.75,4.4,13,1,0,222,33,1,18,3.4
433,225,330,375,278,4,4.22,4.78,1.25,4.6,168,30,1,113,28,2,19,3.8
333,288,420,288,389,3.8,3.78,4.44,2.13,4,30,15,6,458,7,1,21,2.8
400,350,390,300,378,4,3.89,4.44,1.38,4,107,24,3,259,9,1,21,3.1
233,263,470,288,367,3.8,4,4.33,1.75,4.2,38,12,10,93,12,2,19,2.6
411,263,350,325,400,4.2,3.78,4.11,2,3.9,254,37,2,129,12,2,20,3.5
378,350,270,325,278,4.2,4.11,4.78,1.25,3.9,151,10,0,175,21,2,21,3.3
411,350,330,438,267,4.8,3.33,4.67,1.88,4.9,68,24,0,293,151,2,19,3.2
433,213,420,325,378,3.4,3.78,4.33,2.13,4.2,12,6,5,320,44,2,19,2.7
411,225,420,375,411,4.2,4.33,4.67,1.88,4.6,32,16,1,289,14,1,18,3
378,325,310,338,356,3.8,4.44,4.78,1.75,3.9,9,20,1,241,32,2,999,3.1
400,438,490,363,411,3.8,4.78,4.33,2.25,4.8,203,21,0,269,22,2,19,3
367,313,300,275,389,4.8,4,4.56,1.38,4.5,13,11,0,168,32,2,19,3.3
300,400,340,300,278,4.4,3.89,4.67,1.5,3.9,95,14,0,240,28,2,18,2.3
233,350,460,438,378,4.8,3.89,4.67,2,4.9,9,7,1,160,47,2,19,3.6
289,288,290,263,289,3.6,3.33,4.22,1.75,3.7,74,5,0,179,25,2,18,2.9
289,288,290,350,444,4,4.56,4.22,1.88,3.7,1,1,0,210,38,1,19,3.3
289,300,420,275,322,4,3.78,4.22,2.25,4.7,19,37,0,108,10,1,19,3.2
411,325,320,288,367,4.4,4.33,4.67,2,4.2,364,13,0,324,46,2,18,2.9
311,200,340,350,411,4.6,3.33,4.44,1.25,4,13,13,0,157,6,1,24,2.8
333,400,460,388,378,3.8,3.78,4.33,1.88,4.5,0,2,1,203,12,2,20,2.6
378,275,440,313,367,4.6,4.22,4.33,2,4.6,1,2,0,164,11,2,18,3.4
344,338,400,338,422,4,4,4.44,2.25,4.5,0,2,0,53,38,2,19,2.6
300,338,380,338,278,4.4,4.11,4.56,1.25,4,112,17,1,150,18,2,18,2.7
244,388,350,375,333,4.4,3.89,4.44,2,4.4,15,5,1,190,56,2,20,3.3
344,325,280,363,289,3.8,3.89,4.33,2.13,3.8,49,1,0,245,11,1,20,3.7
378,238,450,338,300,4.2,3.78,4.56,2.13,4.5,30,5,4,57,2,2,22,3.2
456,175,340,400,267,5,3,4.78,1.63,4,32,3,0,322,28,2,18,3.9
411,288,470,388,344,4,4.11,4.33,2,4.7,3,6,3,188,12,1,20,2.9
333,325,370,313,333,4,3.56,4.22,2.13,4.2,76,3,2,177,18,2,21,2.7
433,400,350,413,344,4.2,3.78,4.44,2.38,4.3,87,37,2,277,17,2,22,3.6
256,288,300,325,389,3.4,4.33,4.56,1.63,3.9,104,11,0,254,30,1,18,2.9
356,250,370,350,400,4,4.11,4,2.13,3.9,19,11,0,208,14,2,19,2.9
344,263,330,300,378,4.2,4.44,4.56,2,3.9,30,2,0,167,16,1,19,3.1
322,338,390,450,322,5,3.89,3.78,2.5,4,6,3,0,54,9,2,19,3.4
444,288,420,438,389,4.2,4,4.78,1.63,4.4,20,14,0,310,39,2,18,3
367,438,360,325,411,4,4,4.67,2.13,4,0,15,0,165,29,2,19,2.9
356,263,420,338,311,3.8,4,4.56,1.63,3.9,51,13,1,433,33,1,22,3
244,338,290,188,389,4.4,4.44,4.67,1.75,4.2,1,1,0,80,0,1,22,2.8
389,275,400,388,400,4.4,4.56,4,1.75,4,160,18,3,519,22,2,21,3.3
311,275,210,375,300,4.2,4,4.22,1.75,4,5,9,1,305,37,2,20,2.6
289,388,280,350,333,4.4,4,4.22,1.63,3.5,31,12,0,402,59,2,19,3.2
400,363,260,338,344,4.4,3.56,4.89,1.63,4.2,10,2,0,84,24,2,21,3.1
289,250,360,275,444,3.8,4.67,4.78,1.5,4.3,6,19,8,191,20,2,20,2
256,225,440,425,422,4.4,4.67,5,1,4.5,78,15,5,591,32,2,22,2.6
411,313,310,225,356,4.4,4,4.44,1.75,3.9,288,1,0,190,34,2,19,2.9
367,250,340,225,356,3.8,4.11,5,1.25,4.7,104,3,9,201,7,1,20,3
411,375,420,313,367,3.8,4,4.56,1.88,4.5,23,75,1,60,4,2,19,2.7
367,363,410,338,344,4.2,4.44,4.67,1.5,4.4,76,29,2,185,19,2,18,3.3
278,350,370,450,322,4.8,3.78,2.89,2.75,3.7,37,8,0,466,133,2,18,2.3
367,413,440,363,300,3.8,4.22,4.67,1.38,3.7,3,9,0,226,37,2,18,2.5
178,238,260,350,311,4.6,3.33,4.56,1.75,3.9,2,1,0,43,0,1,20,3.2
256,163,490,375,400,4.2,4.56,4.44,1.25,4.6,7,7,7,115,18,2,18,3.8
433,238,380,375,389,4.4,4.11,4.33,2.13,3.9,57,15,0,142,14,1,21,3.4
411,275,480,400,389,4.4,4,4.22,1.38,4.2,39,1,0,132,22,2,22,3.5
233,338,340,250,311,5,4.56,5,2,4.7,23,1,0,73,9,2,19,2.5
344,388,400,338,411,4,3.89,4.33,1.38,4.4,297,20,0,351,66,2,20,3.3
367,325,460,363,400,4.6,4.56,4.67,1.88,4.8,54,13,0,487,30,2,18,3.3
356,325,440,288,222,4,2.67,4.11,1.75,4.3,19,45,1,297,21,2,21,2.6
444,400,380,300,333,3.8,4,4.33,1.88,4.1,0,7,3,124,21,2,20,2.9
289,400,290,163,311,3.8,3.44,4.33,1.75,4.6,35,14,0,163,14,2,18,2.2
311,288,390,338,300,4.4,4,4.78,2,4.4,4,20,0,158,296,2,20,3.2
344,338,420,263,378,4,4.33,4.22,1.75,4.2,2,2,7,80,9,2,19,3.1
356,238,400,438,233,4.6,2.56,4.78,1.5,3.5,3,1,1,49,4,1,19,3
333,338,320,163,378,3.6,3.78,4.33,2,3.8,1,1,0,90,8,2,18,2.8
256,238,330,200,300,3.6,3.33,4.67,1.63,4.3,48,9,0,84,14,1,19,2.2
244,325,360,425,233,4.2,2.67,3.78,2.63,3.3,0,4,0,117,64,2,18,3.4
289,388,310,388,311,5,3.44,3.78,1.63,3,21,6,0,210,37,2,20,2.7
300,375,420,325,356,4.2,4.11,4.67,1.25,4.3,73,1,0,63,14,2,22,3.4
244,325,420,338,422,4,4.22,3.44,1.5,3.9,6,6,2,373,12,2,19,2.2
311,275,380,338,367,4.6,3.89,3.89,2.63,4.4,7,16,1,342,95,2,19,3.5
333,238,450,475,367,4.8,3.89,4.11,1.25,4.8,9,3,0,219,26,1,18,3.1
433,288,400,313,311,4.4,4.44,4.44,1.5,4.8,43,8,4,163,9,1,20,3.7
344,325,380,388,367,4.2,4.22,4.33,1.88,4.6,6,2,2,701,35,2,18,3.2
400,300,280,238,378,4.2,4.22,4.78,1.63,4.5,33,13,0,118,14,2,20,2.8
422,250,480,288,400,4,3.89,4.44,1.88,4.6,5,8,0,454,29,2,20,2.8
344,238,440,400,422,4.8,4.56,3.44,1.88,4,161,1,0,366,9,1,18,3.4
478,350,390,263,433,4.2,3.89,4.67,2,4.4,0,2,0,122,38,2,17,2.9
333,288,370,375,344,4.6,4.56,4.78,1.88,4.7,37,26,0,475,58,2,18,3.1
311,175,380,375,367,4.2,4.11,4.22,1.63,4.1,28,9,0,148,14,2,20,3.8
422,200,430,388,378,4.2,3.67,4.33,1.13,4.7,15,2,2,305,22,1,20,3.9
222,325,460,475,478,5,4.78,4.78,1.38,4.8,73,2,0,641,14,2,21,2.9
467,250,450,400,433,4.8,4.78,4.78,1.38,4.7,52,3,0,130,34,2,20,3.6
400,263,430,438,367,4.6,3.67,4.22,2,4.2,160,13,0,202,14,2,17,3.3
311,363,230,350,322,4,4.33,4.67,2,3.8,0,2,0,227,21,2,20,3.1
344,350,360,388,289,4.2,3.78,4.67,1.5,4.4,32,22,1,140,12,2,21,3.5
378,388,340,275,411,4.4,4.22,4.56,2,3.5,3,9,0,145,16,2,21,2.7
300,238,400,300,400,4.2,4.67,4.22,1.63,4.7,58,2,0,154,7,1,24,3.7
433,338,410,425,244,4.6,3.89,5,1.38,4.8,91,19,3,553,42,2,19,3.8
411,350,500,475,378,5,4.56,4.44,2.25,4.8,0,21,0,575,80,2,18,3.6
389,238,290,263,422,3,4.22,3.78,2,2.9,191,17,9,165,11,2,22,3
322,288,300,325,333,3.8,3.78,4.11,1.88,3.3,52,1,1,84,10,2,21,3.3
411,300,260,325,344,4.2,4,4.67,1.5,3.5,6,9,0,357,46,2,19,3.2
356,388,430,425,267,4.4,4.11,4.67,1.75,4.1,308,4,1,333,59,2,19,2.4
311,363,450,363,444,4.2,4.44,3.78,1.75,4.7,317,28,3,521,38,2,18,2.6
333,225,360,325,378,4.4,4.11,4.44,1.63,4.1,23,12,0,97,11,2,21,3.5
256,300,340,313,267,4.2,3.56,3.89,2.5,3.2,1,1,0,74,8,1,19,3.3
300,213,290,400,278,4,3.56,4.78,1.5,4.2,36,4,0,218,96,1,19,3.7
356,325,450,425,322,4.4,3.44,4.56,1.88,4.2,181,5,0,200,21,2,19,3
289,375,470,313,344,3.8,3.56,3.44,2.5,4.4,37,14,0,869,17,1,19,2.5
267,250,490,338,389,4,3.89,4,1.88,4.1,16,1,3,444,40,2,20,2.5
211,375,380,338,356,4.6,4.33,4.89,1.38,4.2,45,11,7,128,11,2,20,2.1
356,350,430,375,189,4.8,2.56,4.78,1.63,4.4,0,11,0,131,16,2,19,3.7
311,213,410,275,389,4.2,4.11,5,1.38,4.8,32,24,1,62,10,2,19,2.4
411,275,410,300,378,4.6,4.11,4.67,1.5,4.4,14,5,0,70,3,1,18,3.4
433,250,480,400,356,4.4,3.89,4.78,1.75,4.8,38,8,0,74,76,1,19,3.9
378,338,370,213,422,4.8,4.56,4.67,1.38,4.9,37,15,0,195,20,2,21,3.3
289,263,370,288,311,3.6,3.44,4.22,1.13,4.2,48,5,16,350,18,2,20,2.7
389,300,490,413,322,4.6,4.44,4,1.38,4.6,80,8,1,260,17,2,19,3.4
344,288,290,338,244,3.6,3.78,4.67,1.88,3.5,2,5,2,215,15,1,20,3.1
478,388,400,188,422,4.6,4.67,4.89,1.63,4.2,18,8,2,107,8,2,19,2.5
322,425,500,375,356,4.6,4.89,4.89,1.88,4.6,18,6,0,93,8,2,20,3.2
389,200,350,425,344,5,3.78,4.89,1.38,4.3,4,4,0,177,21,2,20,3.4
367,288,400,400,344,4.4,3.56,3.78,1.88,4,1,13,0,171,23,2,18,2.7
289,138,300,325,333,4.4,3.44,4.67,1.25,4.1,221,8,4,209,19,1,19,3
378,325,450,350,456,3.6,4.44,4.78,2,4.7,42,6,7,229,8,1,19,3.2
267,325,370,288,278,4.2,4.44,4.78,1,4.4,2,2,0,37,13,1,19,3
278,238,310,300,400,4.6,4.22,4.11,1.75,4.5,2,2,0,143,13,2,19,3
300,300,390,288,378,4.4,4.11,4.11,2,4.4,23,4,0,212,52,2,21,2.9
244,338,260,213,300,4.4,4,4.56,1.63,4.1,47,12,0,129,22,2,20,3.2
300,400,350,250,289,2.6,2.89,3,4,3.5,93,1,1,215,37,2,21,3.2
478,238,410,338,311,4.4,4.33,4.78,1.38,4.5,26,5,2,95,4,1,20,2.7
267,313,410,388,289,4.8,4,4.56,1.38,4.5,35,29,1,588,11,1,21,2.4
356,300,310,438,300,4.8,3.67,4.11,1.75,3.5,18,12,0,420,50,2,21,3.6
344,288,410,300,411,4.2,4.44,4.22,1.75,4.4,14,16,0,479,49,2,19,3.5
367,363,270,275,378,4.6,4.33,4.89,1.5,3.7,0,6,0,252,14,2,19,2.8
322,188,360,450,311,4.6,3.44,4.22,1.75,3.2,65,4,0,549,44,1,19,4
311,250,340,425,411,4,4,4.11,1.88,3.4,31,33,0,541,38,2,19,3.8
311,425,330,113,356,3.8,4.33,4.56,1.25,4.7,202,15,1,138,14,2,20,1.8
389,425,350,250,289,4.2,4,4.44,1.5,4,22,29,1,345,35,2,18,2.6
389,200,330,275,400,3.6,4.22,4.44,1.75,3.9,18,4,0,105,11,1,20,3.6
211,325,410,288,356,3.8,3.78,4.56,1.88,4.1,42,3,0,86,15,1,19,2.6
256,300,470,325,322,4.4,4,4.67,1.5,4.1,15,3,0,88,10,2,18,3
333,375,390,350,378,4.4,3.78,4.78,1.25,4.4,61,29,3,312,28,2,21,2.7
311,188,340,275,411,3.4,3.89,4.67,2.63,3.9,0,2,2,203,7,1,20,2.5
189,413,400,250,311,3,4.44,4.22,2.25,4.3,54,3,2,170,23,2,18,2
278,350,420,363,289,4.2,3.56,4.44,1.5,4.6,3,17,0,249,41,2,18,2.9
300,350,260,250,322,4.2,4.22,4.56,2,4,0,2,0,120,6,2,23,3.5
322,325,370,350,389,4,4.22,3.67,2.75,3.9,130,15,1,155,14,2,20,3.1
256,163,280,313,433,4.4,4.44,4.56,1.5,3.9,155,14,2,727,28,2,19,3.2
189,363,280,288,244,4,4,4,1.88,4.1,127,71,0,137,23,2,18,2.3
278,188,440,388,311,4.6,3.67,4.89,1.25,4.7,65,4,0,364,26,1,19,3.8
289,338,460,450,244,4.4,3.44,4.67,1.38,4.9,111,12,2,406,24,2,20,2.7
333,238,470,313,422,4.4,4.44,5,1.38,4.7,74,1,0,109,28,2,18,3.5
344,300,360,350,456,4,4.33,4.78,1.5,4,3,6,0,184,27,2,19,2.7
433,200,420,338,400,3.6,4,4.89,1.88,4.6,45,8,0,165,34,2,17,2.7
367,275,330,300,311,4.2,3.67,4.33,2.25,4.2,86,3,0,33,11,1,19,2.5
433,363,350,175,367,3.8,4.33,4.44,1.75,4.2,99,14,4,138,7,2,19,2.2
300,413,270,388,344,4,3.44,4.56,2.25,3.9,47,16,1,317,42,2,21,2.9
244,313,380,288,367,4,4.11,4.11,1.88,3.9,6,3,0,146,35,2,20,2.8
300,275,340,288,356,4.6,4.33,4.78,2,4.4,3,1,0,156,14,2,20,2.7
356,225,370,338,233,3.8,3.44,4.44,1.63,4.1,10,1,5,75,6,1,21,3.6
267,325,400,300,356,4.4,4.44,4.56,1.25,4.1,670,73,0,410,20,2,18,2.6
300,350,380,250,356,3.6,3.44,3.44,1.75,4.5,2,6,0,121,9,1,20,2.7
389,313,420,263,400,3.6,3.78,4.11,2.25,4,650,1,0,452,12,2,21,3.6
344,288,490,388,356,4.8,4.33,4.56,1.38,4.7,30,73,1,363,22,2,18,3.5
389,263,310,413,400,4.6,4.11,4.44,2,3.7,105,45,0,445,32,2,18,2.9
300,375,340,238,278,3,3.56,3.78,2.13,4.2,36,2,0,148,19,1,19,2.1
