bfich,bfinh,bfioh,bfieh,bfiah,bfiae,bfiaa,bfiac,bfian,bfiao,wallposts,portraits,imp_avs,friends,likes_portrait,sex,age,selfesteem
356,288,490,363,356,4,3.89,4.67,1.38,4.5,22,3,0,458,96,2,20,3.3
333,163,430,313,367,4,4,4.33,1.63,4.4,21,3,0,248,41,2,19,3
267,288,350,150,333,4,4.44,4.56,1.38,4.4,162,4,9,136,21,2,19,2.3
333,325,300,263,367,3.8,3.67,4.56,1.38,3.7,140,25,1,419,11,2,22,2.9
400,338,420,338,367,4.6,4.44,4.78,2.13,4.2,53,11,0,395,57,2,20,3.2
222,275,380,450,267,3.8,3.56,4.11,1.88,3.9,15,8,1,139,7,1,20,3.4
411,463,400,300,389,4.2,4.67,4.67,2.13,4.3,795,42,0,273,12,2,20,2.5
322,250,480,350,378,4,4,4.78,1.5,4.1,24,26,0,574,66,2,20,3
322,350,370,413,389,3.8,4,4,1.5,4.2,15,5,2,120,10,2,19,3.2
300,350,410,363,300,4,3.89,4.67,1.88,4.1,117,29,4,489,19,2,20,1.9
267,188,300,338,344,4.2,3,3.89,1.88,3.7,1,3,0,94,18,1,21,2.5
389,288,430,300,378,3.8,3.44,4.44,1.38,4.4,28,5,4,120,14,2,22,3.5
311,263,410,375,367,4.2,4,4.33,1.88,4.4,54,9,0,310,31,2,19,3.2
400,300,410,350,356,4.4,4,4.89,2.13,4.5,23,12,1,405,62,2,19,3.4
289,313,260,288,300,4.4,3.89,4.33,1.5,3.8,73,3,0,106,46,2,18,3.1
344,338,290,350,333,4.2,3.89,4.33,2.25,3.7,2,1,0,228,28,2,19,2.8
411,325,400,375,433,4.2,4.44,4.33,1.88,4.5,156,41,12,125,12,2,22,3
322,288,430,425,389,5,4.11,4.56,1.38,4.2,73,1,0,332,28,1,21,3.3
222,300,290,325,367,4,4.33,3.89,2.13,4.5,3,5,0,226,7,1,17,3.2
278,488,230,150,256,3.2,4,4.56,1.5,3.7,97,3,3,143,9,1,21,1.7
400,388,210,338,289,4.8,3.67,4.89,1.63,4,69,5,0,225,8,1,20,3
333,250,270,263,378,4.6,4.11,5,1.75,4.3,3,7,0,172,47,2,18,3.8
311,350,370,300,378,4.4,4.89,4.89,1.75,4.6,5,7,1,199,19,2,21,3.4
267,200,440,388,467,4.6,4.67,4,1.38,4.5,0,2,0,107,8,2,18,3.4
356,338,410,325,344,4.4,4,4.22,2,4.2,24,29,1,152,23,2,19,3.1
289,188,250,275,344,4,3.44,4.22,1.75,3.4,55,34,0,433,37,2,20,2.8
367,213,300,363,333,4.2,4.11,4.22,1.63,3.5,26,3,0,467,42,1,19,3.4
300,388,410,163,411,3,4.11,4.11,2.13,4.7,53,2,2,123,12,2,20,2.3
333,488,420,388,311,5,4.67,4.56,1.25,4.3,15,21,0,261,18,2,18,3.2
278,338,390,463,244,5,4.22,4.89,1,4.8,20,9,0,277,7,1,21,3.8
300,338,400,300,344,4.8,4,4.33,1.5,4.4,90,6,1,223,33,2,21,2.7
289,275,370,238,311,4,4.56,5,1.5,3.9,73,1,0,38,3,1,18,2.9
378,300,420,363,378,4,4.44,4.33,1.38,3.8,131,5,1,27,11,2,20,3.2
389,225,490,463,356,4.4,4.56,4.44,1.5,4.7,8,3,0,167,6,1,25,4
278,425,500,388,367,3.8,4,4.22,1.75,4.8,1,1,0,472,19,1,18,2.9
456,163,340,350,322,4.2,3.67,4.67,1.75,3.8,73,2,0,162,12,1,20,3.5
344,175,380,263,322,3.6,4.22,4,1.5,4.1,35,1,1,199,20,2,21,2.9
444,325,350,413,267,4.8,4.11,4.44,1.5,4.5,2,3,0,227,49,2,18,3.2
311,138,380,388,411,4.8,4.78,4.78,1.5,4,36,16,1,616,31,1,19,3.8
311,375,330,300,311,3.6,3.67,4.22,1.5,3.6,0,1,0,97,11,1,18,3.1
222,338,500,338,367,4.4,4.56,4.22,2,4.7,45,22,1,172,18,2,19,3
300,313,370,288,344,4.2,3.56,3.67,2.5,4.1,79,25,2,240,11,2,20,3.2
300,350,370,288,400,4,4,4.78,2.25,4.1,31,5,0,117,11,1,19,2.8
256,250,280,400,311,4.4,3.78,4.56,1.5,3.4,5,6,0,280,9,1,20,3
244,313,380,288,322,3.4,3.33,3.44,2.63,3.7,347,2,6,89,17,2,18,2.3
278,363,320,250,367,4.2,4.33,4.44,1.88,4.2,24,6,3,154,41,2,19,2.7
311,350,420,300,367,3.4,3.78,3.33,3,4.5,550,29,7,216,10,2,18,2.7
367,300,390,363,456,4.2,4.44,4.11,1.5,4,7,1,0,134,22,1,21,3.5
333,338,390,325,289,3.6,4,4.56,2.5,3.6,42,7,0,187,27,2,21,3
500,175,140,200,322,1.8,3.22,4.78,1,1.8,26,3,7,418,10,1,22,3.6
178,475,330,275,222,3.4,3.89,4.22,1.63,4.2,5,1,0,45,6,2,19,2.9
367,300,390,325,378,4,4.11,4.22,2.13,4.3,20,11,0,209,34,2,20,3.6
378,313,270,313,356,4.2,4,4.22,2.13,3.3,30,12,2,223,26,2,19,3
344,338,350,300,244,4,3.89,4.44,1.63,3.9,0,2,0,181,14,2,19,3.1
444,238,440,413,400,4.6,4.67,5,1.5,4.8,66,16,0,527,26,2,21,3.7
389,375,380,388,344,4.2,4.56,4.78,1.13,4.5,15,10,0,200,35,2,20,3.2
422,163,460,463,433,5,4.89,4.22,1.38,4.2,6,2,0,167,21,1,19,3.6
267,288,450,475,344,4.8,4.33,4.67,1.25,4.6,73,1,0,128,6,2,19,3.7
322,350,400,338,400,4.6,4.22,4.89,1.5,3.9,20,13,6,186,7,2,21,3.8
344,300,480,413,389,4.4,4.22,3.67,1.75,4.7,24,22,0,328,30,2,19,2.9
356,313,360,388,367,4.8,4.11,4.56,2.38,4.8,8,7,0,380,54,2,18,3
411,275,490,438,400,4.6,4,4.89,2,4.3,6,17,4,638,30,2,20,3.9
333,325,330,350,356,4.4,4.67,4,2.38,3.8,1,26,0,124,11,2,19,2.8
222,425,310,275,256,4.4,3.33,4.56,1.88,3.9,4,11,4,117,8,2,18,1.6
322,238,380,450,300,5,3.22,4.22,1.75,3.9,27,19,1,195,15,2,18,3.6
333,313,300,325,300,4.4,3.89,4.56,2.25,4.2,30,4,0,444,43,1,19,2.7
278,300,260,313,367,4.2,3.78,4.11,1.88,3.4,28,4,0,415,38,2,21,3.2
344,375,360,250,367,4.8,4.22,4.67,1.63,3.7,2,11,0,176,28,2,17,2.8
411,313,340,338,256,4.2,2.78,5,2.5,4.2,0,1,0,41,0,1,20,3.5
289,338,380,175,256,3.8,3.56,4.33,1.63,3.8,13,1,0,174,5,1,29,3.5
422,388,450,400,178,4.8,4,4.56,1.25,4.4,28,2,0,265,33,2,21,2
378,325,400,250,433,3.8,4.33,4.67,2.38,4.8,208,6,39,52,7,1,19,2.8
389,175,440,350,378,4.2,4.11,4.89,1.13,5,6,1,0,91,34,1,19,3.3
344,413,420,375,311,3.2,3.89,3.78,3.13,4,73,4,0,39,3,2,19,2.7
289,275,470,375,378,4.4,4,5,1.25,4.9,4,1,0,336,14,1,20,3.2
322,225,310,288,378,4.2,3.67,3.78,2.13,3.6,41,3,3,113,6,1,19,2.8
344,225,350,388,278,5,4.33,4.78,1.5,3.8,73,4,0,287,34,2,19,2.8
433,375,300,300,333,4.4,4.11,4.67,1.75,4.4,53,1,0,165,30,2,23,3.9
222,338,440,375,289,4,4.11,4.56,1.75,4.4,2,1,0,62,95,2,19,3.4
378,250,370,300,322,4.6,4.11,4.89,1,4.5,14,6,0,244,14,1,20,3.7
322,375,430,438,322,4.8,4.56,4.89,1.5,4.9,96,22,0,433,67,2,18,4
344,425,220,288,378,3.8,4.33,4,1.88,3.7,2,4,0,119,27,2,18,3.5
356,300,340,425,300,5,3.33,4.89,1.88,4.5,1,4,0,321,100,2,18,3.4
356,350,420,263,367,4.2,4,4.11,2,4.7,119,2,6,140,9,1,20,2.93
322,450,360,275,300,3.6,4.22,4,1.38,4.3,480,17,6,152,16,2,20,2.2
400,425,470,375,289,4,4.33,4.33,1.13,4.3,76,19,0,415,63,2,19,3.2
333,363,340,313,389,4.4,4.67,4.22,1.5,3.7,11,6,0,276,69,2,20,2.6
378,388,390,388,311,4.2,3.78,4.67,1.75,3.9,5,2,0,533,41,2,19,3.1
356,188,360,325,378,4.4,4.22,4.44,1.5,4.6,36,5,5,199,32,2,19,4
422,375,420,338,356,3.6,4.33,4.44,1.38,4.2,44,5,3,511,36,2,21,2.6
389,313,360,338,411,4,4.22,4.78,2,3.9,228,33,1,224,14,2,21,2.9
322,275,350,363,433,4,4.11,4.33,2.25,4.1,30,10,0,307,35,2,18,3
333,438,350,388,322,3.6,4.22,4.33,1.38,4.7,11,7,0,244,56,2,19,2.2
200,238,380,338,311,4.2,4.22,4.89,1.13,4,1,4,0,38,5,1,19,3.1
322,450,260,338,344,4.4,4.11,4.89,1.63,4.1,49,5,0,402,30,2,20,3.3
289,288,420,325,300,4,3.56,4.56,1.63,4.5,16,12,0,226,48,2,18,3.3
256,300,270,275,356,4.4,3.89,4.56,1.75,3.5,19,5,1,243,14,1,19,3
233,363,350,275,267,3.6,4.22,4.22,1.88,4.9,41,3,0,185,19,2,19,2.5
311,375,430,363,367,4.4,4,4.33,1.88,4.8,302,42,24,349,46,2,18,2.3
189,350,460,313,289,3.2,4.44,4.22,1.25,4.8,84,10,1,227,37,2,20,3.2
