bfinh,bfioh,bfieh,bfiah,bfich,bfiae,bfiaa,bfiac,bfian,bfiao,wallposts,portraits,imp_avs,friends,likes_portrait,sex,age,selfesteem
338,270,325,311,378,4.4,3.78,4.67,1.75,3.6,44,14,3,278,45,2,18,2.5
138,410,350,389,344,4.4,3.89,4.33,1,4.4,3,3,1,435,17,1,19,3.6
288,470,288,289,322,3.4,2.67,4,1.88,4.8,4,3,0,83,23,2,18,3.5
350,310,213,333,378,3.8,4.33,4.78,1.75,3.9,0,1,0,258,9,1,20,3.4
425,430,288,367,300,3.4,4.33,4.11,1.63,3.9,209,31,0,468,31,2,18,2.9
288,410,350,344,344,4.4,4.56,4.33,1.13,4.2,36,6,0,434,41,1,24,3.6
363,470,400,378,367,4.6,4.56,4.89,1.63,4.9,15,14,0,307,25,2,18,3.4
250,410,313,322,289,3.4,3,4,1.75,4.6,93,13,0,66,8,2,24,3.4
375,360,350,378,233,4.6,3.78,4.33,1.63,3.9,23,6,9,93,26,2,19,3.4
113,370,413,367,244,4.8,4.22,4.11,1.25,4,22,20,0,208,32,2,18,3.2
375,500,450,311,333,4.6,4.44,4.89,1.13,5,222,8,4,156,17,1,20,2.8
325,440,413,400,311,4.6,3.67,4,2.38,4.2,16,36,0,310,30,2,19,2.8
325,360,300,300,278,4.2,3.67,4.22,1.38,4,4,8,0,134,34,2,19,2.7
325,440,388,389,267,4.2,4,4.67,2.13,4.5,95,48,9,98,11,2,19,3.2
363,260,263,222,256,4.8,4.33,5,1.5,4,177,47,0,90,81,2,21,2.5
338,370,250,244,278,2.8,4.11,4.11,2.25,3.9,0,9,2,115,12,2,21,3.1
225,400,375,267,344,3.8,3.67,4.67,1.5,3.4,185,9,0,150,12,2,19,3.1
338,340,388,278,289,3.8,2.89,2.78,2.88,3.6,73,9,0,150,14,1,19,2.5
350,410,350,400,433,4.4,4.56,4.56,1.63,4.6,206,5,0,343,14,2,19,3.5
288,400,263,411,344,3.4,4.33,4.67,2.13,4.4,48,24,0,269,52,2,18,3.1
288,450,463,267,256,4.4,3.78,4.89,1.75,4.3,45,24,2,612,111,2,18,2.8
225,360,338,311,478,4.6,3.33,4.33,1.88,4,0,1,0,72,11,1,19,3.5
338,390,388,356,389,4.6,3.78,4.56,2,4,399,20,3,288,10,2,19,3.3
325,340,288,300,200,3,3.22,2.89,2.63,3.2,4,7,0,69,11,2,19,2.7
338,410,400,344,300,4.2,3.78,4.44,1.88,4.2,75,12,0,643,164,2,18,3.1
213,410,338,389,422,4.2,3.78,4.33,1.5,4.5,67,38,0,447,29,2,23,5.92
238,340,325,422,367,4.6,3.78,4.89,1.5,4.5,1,7,1,91,7,2,21,3.6
200,480,463,333,344,4.6,4.11,4.78,1.13,4.8,68,22,0,634,26,2,20,3.4
400,340,363,411,344,4.4,4.33,4.33,2.13,3.8,72,8,0,362,50,2,21,3.2
213,320,475,367,411,4.8,3.56,4,2.25,2.7,32,10,4,341,6,1,19,3.4
163,400,438,411,433,4.4,4.56,5,1.63,4.3,149,10,3,117,9,1,22,3.6
388,420,375,300,344,4.4,3.89,4.22,1.75,3.6,78,26,1,108,23,2,21,2.3
263,490,350,278,233,3.6,3.44,3,3,4.6,29,12,2,591,8,1,19,3.5
388,470,300,356,378,4.2,4.56,4.22,1.75,4.7,43,14,0,313,41,2,19,2.4
400,430,338,344,244,3.4,3.89,4.56,2.13,4.4,244,16,6,512,27,1,21,2.7
238,310,338,378,344,4.6,3.89,3.56,2.25,3.6,17,10,1,162,8,1,20,3.2
413,420,363,367,267,4.8,4.11,4.22,1.25,4.3,114,4,0,271,16,2,21,3
275,410,363,389,344,4.6,4.22,4.78,2,4.2,4,1,0,226,33,1,18,3.3
425,310,175,356,367,3.6,4,4.78,1.38,3.7,21,15,0,239,21,2,20,2.3
213,310,338,278,344,4.6,3.89,4.89,1.25,3.8,406,23,0,153,13,2,18,3.2
300,440,425,244,378,5,2.89,4.78,2.25,4.6,175,54,2,155,21,2,19,3.9
238,330,350,433,300,4.2,4.44,4.44,2,4.1,41,16,0,337,30,2,19,3
438,450,250,411,400,5,4.78,4.89,1,4.5,15,7,0,219,56,2,18,2.6
250,450,325,300,322,4.2,3.56,4.33,1.63,4.9,439,3,1,85,11,2,19,2.4
450,380,400,278,400,4.4,4.56,4.56,1.25,4.7,1,5,0,236,42,2,20,3.6
288,380,400,389,322,4.2,3.78,4.11,2.13,4.1,31,4,0,115,15,1,20,2.3
313,360,250,322,267,4.2,4.44,4.67,1.63,4.3,10,4,0,133,57,2,17,2.3
275,200,150,267,311,2.8,2.44,4.22,1.5,3.7,0,2,4,91,13,2,19,2.2
338,440,413,311,322,4.8,4.33,4.67,2.13,4.5,2,8,0,421,53,2,20,3.7
275,390,425,356,411,4.6,3.89,4.67,1.88,4.3,1,8,0,687,76,2,18,3.6
200,450,375,389,344,4.2,3.56,4.22,1.13,4.7,9,6,1,261,19,1,19,3.4
313,440,450,267,333,3.6,3.33,4.89,1.25,3.9,251,20,0,126,18,2,19,3
