bfia,bfiae,bfiaa,bfiac,bfian,bfiao,wallposts,portraits,imp_avs,friends,likes_portrait,sex,age,selfesteem
3.11,4.2,3.56,3.78,2,4.3,9,22,0,319,23,2,20,3.2
4,4.2,4.44,4.78,1.63,4.6,470,16,9,636,30,2,19,2.7
3.33,3.8,3.89,4,2.25,3.7,14,9,0,109,10,1,22,3
4.56,4.4,4.33,4.78,1.75,4.3,43,3,0,196,24,2,21,3.3
3.89,4.6,4.11,4.56,2.25,4.5,644,13,0,106,34,2,18,3.8
3.67,4.8,4.44,4.44,1.75,4.6,233,9,0,211,30,2,19,2.5
3.56,4.4,4.11,4.78,1.5,4.5,169,25,0,245,20,2,20,3.5
3.67,4.6,4.11,4.11,1.25,4.8,188,55,2,981,18,2,19,3.5
3.11,3.8,4.22,3.67,1.13,4.2,73,2,0,157,11,2,20,2.8
3.33,3.6,3.89,4,2,3.6,323,28,98,72,8,1,19,2.5
3.44,4.2,4.78,4.44,1.88,4,51,10,1,283,16,2,22,3
3.67,4.4,3.56,4.89,1.75,4.6,21,2,0,146,28,2,18,3.4
3.78,4.6,3.33,3.44,2,4.8,17,2,2,215,14,1,23,2.6
3.33,4,4.11,4.56,1.5,4.1,14,2,0,57,16,2,18,3.7
2.89,4,3.44,4.33,2,4.3,68,12,0,82,260,2,21,3.6
1.78,4.4,3.22,4.33,1.88,4.7,80,12,0,490,46,2,19,2.9
2.22,2.8,4,4.78,1.38,3.1,11,4,0,116,22,2,18,2
3.89,3.8,4.11,4,2.38,4.5,1,2,1,14,11,1,20,2.7
2.78,4.4,3.44,4,1.75,3.4,267,42,1,410,27,2,19,2.3
3.22,4.2,3.44,4.78,1.88,3.7,68,15,1,332,38,2,19,3.2
4,4.6,4,4.67,1.13,4.2,13,13,2,669,33,2,22,3.7
3.11,4,4.44,4.56,1.88,4.7,0,3,0,124,14,1,19,2.9
2.78,4.8,3.33,3.78,1.88,3.9,97,21,0,215,36,2,17,3.4
4.33,4.2,4.56,4.78,1.5,3.7,36,6,3,209,13,2,21,2.7
4,4.4,3.89,4.67,1.88,4.5,144,12,0,143,10,2,19,2.4
1.78,3.6,3.56,4.56,1.38,4.7,72,13,0,436,64,2,20,2.88
4.22,4.6,3.78,4.11,1.5,4,116,10,0,554,41,2,19,2.5
4.11,4.4,3.89,4.22,1,4.4,933,19,1,1049,55,2,19,3.8
2.44,3.6,3.67,4.33,2,3,8,7,0,111,16,2,20,3.2
3.44,4.2,4,4.56,1.13,4,85,2,0,174,16,1,20,2.4
3.56,3.4,4.33,4.89,1.5,4.7,2230,36,0,209,22,2,20,3.5
3.67,4.2,4.78,4.22,1.25,4.2,1,3,0,212,36,2,18,3.9
3.22,4.8,4.44,4.11,1.5,3.8,29,4,0,537,61,2,20,2.6
3.56,4.2,4.11,4.67,1.13,4.7,183,29,2,901,16,2,21,3.2
3.44,4,3.67,4,2.13,3.6,345,32,7,536,49,2,21,2.9
2.22,3.8,3,4,1.88,4,16,2,0,113,15,2,21,3.2
4.11,4.2,4.11,4.67,1.88,3.9,2,6,0,260,8,1,20,2.9
3.22,4.4,3,5,1,4.5,2,13,9,244,7,1,20,2.5
2.89,4.8,3.67,4.11,1.63,4.1,32,17,0,306,20,2,17,3.3
4.11,4.6,4.44,4.67,1.25,4.7,32,4,0,256,46,2,19,3.8
2.67,4,2.33,4.11,2.88,5,286,44,0,217,11,2,18,3.6
3.44,4.2,4.33,4.67,2.38,3.7,5,15,0,352,23,1,19,2.8
4.11,4.4,4.33,4.78,1.63,4.2,235,40,4,239,19,2,22,3.7
4.22,4.2,4.44,4.67,1.13,4.3,12,2,0,531,25,1,18,3.8
2.44,3,2.22,3.33,1.75,3.6,6,3,0,80,8,1,19,2.9
4.11,4.2,4.44,4.78,1.5,4,82,27,0,270,49,2,20,3.2
3.22,4.2,4.22,4.67,1.25,3.9,3,2,1,166,9,2,18,2.9
4.11,3.8,3.89,4.67,1.63,4.3,15,7,1,224,17,1,20,3.6
3.78,3.8,3.67,3.67,2.5,3.6,8,2,0,144,34,2,21,2.7
3.67,4.2,3.78,4.67,1.63,3.9,4,6,0,187,31,2,20,3.4
3.33,4.2,4.22,4.56,1.88,3.6,47,39,0,315,18,2,20,2.9
3.11,4.4,3.78,4.67,1.75,3.6,44,14,3,278,45,2,18,2.5
3.89,4.4,3.89,4.33,1,4.4,3,3,1,435,17,1,19,3.6
2.89,3.4,2.67,4,1.88,4.8,4,3,0,83,23,2,18,3.5
3.33,3.8,4.33,4.78,1.75,3.9,0,1,0,258,9,1,20,3.4
3.67,3.4,4.33,4.11,1.63,3.9,209,31,0,468,31,2,18,2.9
3.44,4.4,4.56,4.33,1.13,4.2,36,6,0,434,41,1,24,3.6
3.78,4.6,4.56,4.89,1.63,4.9,15,14,0,307,25,2,18,3.4
3.22,3.4,3,4,1.75,4.6,93,13,0,66,8,2,24,3.4
3.78,4.6,3.78,4.33,1.63,3.9,23,6,9,93,26,2,19,3.4
3.67,4.8,4.22,4.11,1.25,4,22,20,0,208,32,2,18,3.2
3.11,4.6,4.44,4.89,1.13,5,222,8,4,156,17,1,20,2.8
4,4.6,3.67,4,2.38,4.2,16,36,0,310,30,2,19,2.8
3,4.2,3.67,4.22,1.38,4,4,8,0,134,34,2,19,2.7
3.89,4.2,4,4.67,2.13,4.5,95,48,9,98,11,2,19,3.2
2.22,4.8,4.33,5,1.5,4,177,47,0,90,81,2,21,2.5
2.44,2.8,4.11,4.11,2.25,3.9,0,9,2,115,12,2,21,3.1
2.67,3.8,3.67,4.67,1.5,3.4,185,9,0,150,12,2,19,3.1
2.78,3.8,2.89,2.78,2.88,3.6,73,9,0,150,14,1,19,2.5
4,4.4,4.56,4.56,1.63,4.6,206,5,0,343,14,2,19,3.5
4.11,3.4,4.33,4.67,2.13,4.4,48,24,0,269,52,2,18,3.1
2.67,4.4,3.78,4.89,1.75,4.3,45,24,2,612,111,2,18,2.8
3.11,4.6,3.33,4.33,1.88,4,0,1,0,72,11,1,19,3.5
3.56,4.6,3.78,4.56,2,4,399,20,3,288,10,2,19,3.3
3,3,3.22,2.89,2.63,3.2,4,7,0,69,11,2,19,2.7
3.44,4.2,3.78,4.44,1.88,4.2,75,12,0,643,164,2,18,3.1
3.89,4.2,3.78,4.33,1.5,4.5,67,38,0,447,29,2,23,5.92
4.22,4.6,3.78,4.89,1.5,4.5,1,7,1,91,7,2,21,3.6
3.33,4.6,4.11,4.78,1.13,4.8,68,22,0,634,26,2,20,3.4
4.11,4.4,4.33,4.33,2.13,3.8,72,8,0,362,50,2,21,3.2
3.67,4.8,3.56,4,2.25,2.7,32,10,4,341,6,1,19,3.4
4.11,4.4,4.56,5,1.63,4.3,149,10,3,117,9,1,22,3.6
3,4.4,3.89,4.22,1.75,3.6,78,26,1,108,23,2,21,2.3
2.78,3.6,3.44,3,3,4.6,29,12,2,591,8,1,19,3.5
3.56,4.2,4.56,4.22,1.75,4.7,43,14,0,313,41,2,19,2.4
3.44,3.4,3.89,4.56,2.13,4.4,244,16,6,512,27,1,21,2.7
3.78,4.6,3.89,3.56,2.25,3.6,17,10,1,162,8,1,20,3.2
3.67,4.8,4.11,4.22,1.25,4.3,114,4,0,271,16,2,21,3
3.89,4.6,4.22,4.78,2,4.2,4,1,0,226,33,1,18,3.3
3.56,3.6,4,4.78,1.38,3.7,21,15,0,239,21,2,20,2.3
2.78,4.6,3.89,4.89,1.25,3.8,406,23,0,153,13,2,18,3.2
2.44,5,2.89,4.78,2.25,4.6,175,54,2,155,21,2,19,3.9
4.33,4.2,4.44,4.44,2,4.1,41,16,0,337,30,2,19,3
4.11,5,4.78,4.89,1,4.5,15,7,0,219,56,2,18,2.6
3,4.2,3.56,4.33,1.63,4.9,439,3,1,85,11,2,19,2.4
2.78,4.4,4.56,4.56,1.25,4.7,1,5,0,236,42,2,20,3.6
3.89,4.2,3.78,4.11,2.13,4.1,31,4,0,115,15,1,20,2.3
3.22,4.2,4.44,4.67,1.63,4.3,10,4,0,133,57,2,17,2.3
2.67,2.8,2.44,4.22,1.5,3.7,0,2,4,91,13,2,19,2.2
3.11,4.8,4.33,4.67,2.13,4.5,2,8,0,421,53,2,20,3.7
3.56,4.6,3.89,4.67,1.88,4.3,1,8,0,687,76,2,18,3.6
3.89,4.2,3.56,4.22,1.13,4.7,9,6,1,261,19,1,19,3.4
2.67,3.6,3.33,4.89,1.25,3.9,251,20,0,126,18,2,19,3
3.78,4.4,4.33,4.44,2,4.5,0,9,1,95,13,2,18,3
3.78,3.4,4.33,4.11,2.13,4.7,18,7,0,399,53,2,19,2.9
4.11,3.8,3.67,4.44,2,3.8,11,4,0,274,6,1,23,2.7
4.33,4.2,4.33,4.44,1.75,3.7,116,30,0,430,24,2,20,3.3
4.33,4,4.33,4.44,1.88,3.8,3,17,0,201,28,2,18,3.5
3.11,4.2,3.67,4.78,1.25,3.8,25,3,1,159,14,1,24,3.2
3.89,4.4,4.11,4.89,1.38,4.5,81,23,0,298,28,2,19,3.8
3.78,4.4,4.22,4.89,1.5,3.8,7,13,4,119,5,2,18,3.1
3.56,3.8,4,4.78,1.63,4.3,344,24,1,314,14,2,18,3.5
3.44,4.4,4.22,4.78,1.88,4,180,14,2,191,20,2,22,3
4.67,4.6,4.78,4.67,1.5,4.4,22,3,0,180,32,2,20,2.8
2.78,3.4,4.22,4.33,2,4.1,3,1,0,417,12,1,19,2.6
3.44,5,3.89,4.33,1.5,3.8,32,12,0,363,42,2,19,3.5
3.33,4,3.89,4.33,1.5,4.4,84,1,2,139,7,2,20,3.2
3.56,4,4,4.56,1.38,4.5,173,9,1,224,29,2,20,3.9
